ISO3,Latitude,Longitude
GUY,4.8417097,-58.6416891
GNB,11.815215,-15.2351044
MLI,16.3700359,-2.2900239
SYC,-4.6574977,55.4540146
SLV,13.8000382,-88.9140683
QAT,25.3336984,51.2295295
GRD,12.1360374,-61.6904045
TGO,8.7800265,1.0199765
BFA,12.0753083,-1.6880314
CMR,4.6125522,13.1535811
MYS,4.5693754,102.2656823
THA,14.8971921,100.83273
ATG,17.2234721,-61.9554608
ARM,4.536307,-75.6723751
AGO,-11.8775768,17.5691241
ASM,-14.297124,-170.7131481
PRI,18.2247706,-66.4858295
ZWE,-18.4554963,29.7468414
ETH,10.2116702,38.6521203
SLE,8.6400349,-11.8400269
PCN,40.4031245,-79.778102
ERI,15.9500319,37.9999668
JPN,36.5748441,139.2394179
ABNJ,,
PAN,8.559559,-81.1308434
BHR,26.030093,50.553336789123236
LAO,20.0171109,103.378253
UZB,41.32373,63.9528098
PSE,42.2089038065726,-79.46849684080372
UMI,28.23605105,-177.36856316535344
MNP,15.1753648,145.7379338
GUM,13.4499943,144.7651677
MNP;GUM,15.1753648,145.7379338
NGA,9.6000359,7.9999721
IMN,54.1936805,-4.5591148
MAR,28.3347722,-10.371337908392647
OMN,21.0000287,57.0036901
NAM,-23.2335499,17.3231107
KOR,36.638392,127.6961188
BMU,32.3040273,-64.7563086
MNP;UMI,15.1753648,145.7379338
JOR,44.6663146,-93.6261918
MAR;ESP,28.3347722,-10.371337908392647
SRB,44.024322850000004,21.07657433209902
CPV,16.0000552,-24.0083947
MDA,47.0229142,28.8299748
GIB,36.1285933,-5.3474761
GEO,32.3293809,-83.1137366
LUX,49.6112768,6.129799
MUS,-20.2759451,57.5703566
AUS,-24.7761086,134.755
YEM,16.3471243,47.8915271
CIV,7.9897371,-5.5679458
ATA,-72.8438691,0.0
CXR,-10.4837768,105.64723
MKD;ALB,41.6171214,21.7168387
MDG,-18.9249604,46.4416422
AZE;IRN,40.3936294,47.7872508
COG;CMR;CAF,-2.9814344,23.8222636
KAZ;TKM;UZB,48.1012954,66.7780818
DEU;SVK;ALB;AUT;BEL;BGR;ESP;HRV;ITA;ROU;SVN;UKR,51.1638175,10.4478313
BLR;POL,53.4250605,27.6971358
CRI;PAN,10.2735633,-84.0739102
ZMB;ZWE,-14.5189121,27.5589884
CHE;ITA,46.7985624,8.2319736
CAN;USA,61.0666922,-107.991707
SVK;HUN,48.7411522,19.4528646
FRA;ESP,46.603354,1.8883335
MNG;RUS,46.8250388,103.8499736
REU,-21.1309332,55.5265771
NLD;DEU;DNK,52.2434979,5.6343227
UZB;KGZ;KAZ,41.32373,63.9528098
FIN;SWE,63.2467777,25.9209164
CIV;GIN,7.9897371,-5.5679458
CCK,-12.0728315,96.8409375
HMD,-53.0166353,72.955751
NFK,-29.0328038,167.9483137
CHL,-31.7613365,-71.3187697
BVT,-54.4215,3.35744155625
BLM,17.8967693,-62.825598
SPM,46.8374544,-56.2120555
ZAF,-28.8166236,24.991639
SAU,25.6242618,42.3528328
PAK,30.3308401,71.247499
GMB,13.470062,-15.4900464
BLZ,17.1204943,-88.6859028
MDV,3.7203503,73.2244152
PRY,-23.3165935,-58.1693445
BTN,27.549511,90.5119273
LSO,-29.6039267,28.3350193
LSO;ZAF,-29.6039267,28.3350193
SYR,34.8147886,38.42317811509885
PYF,-17.0243749,-144.6434898
PRK,38.233686649999996,127.00873073371443
WLF,-13.289402,-176.204224
FSM,8.6062347,151.832744331612
TKL,-9.1676396,-171.819687
PRT;ESP,39.6621648,-8.1353519
TGO;BEN,8.7800265,1.0199765
LBY,26.8234472,18.1236723
SOM,8.3676771,49.083416
